Sample Name,Tudor,Hsp71,Hsp70,GAPDH,EF1a,B-actin,18s,aPKC,gli,hh1,nos2,par3,par6,piwi1,piwi2,pl10,ptc,smo,soxF1,vas1,vas2-1,vas2-2,vas2-3,dlg,lgl,vas2-17,vas2-3347
1-dpf-4,22.271,20.221,24.677,20.248,15.616,20.965,22.222,22.574,24.050,24.485,20.818,22.336,23.141,19.511,22.186,22.272,27.667,27.374,26.592,22.981,,,,22.220,20.059,21.640,25.336
2-dpf-4,22.525,19.025,24.126,18.540,14.612,18.711,22.095,22.158,23.042,22.843,20.057,21.905,22.796,19.364,22.282,22.232,25.799,26.614,22.730,23.161,,,,21.730,20.131,21.680,25.075
2-dpf-4,22.386,19.008,24.156,18.539,14.519,18.636,21.903,22.063,23.001,22.779,20.048,21.872,22.741,19.302,22.230,22.324,25.783,26.537,22.663,23.143,,,,21.763,20.073,21.579,25.097
2-dpf-4,22.380,18.971,23.953,18.483,14.510,18.602,21.974,22.017,22.975,22.701,20.116,21.810,22.660,19.297,22.173,22.951,25.725,26.565,22.723,23.067,,,,21.748,20.103,21.582,25.110
3-dpf-4,23.243,19.164,25.033,18.638,14.797,18.716,22.819,22.419,22.937,23.035,20.707,22.124,23.259,20.111,22.695,22.648,25.153,26.821,22.747,24.007,,,,22.162,20.696,22.238,25.112
3-dpf-4,23.235,19.131,24.970,18.695,14.763,18.590,22.686,22.298,22.845,22.941,20.959,22.136,23.170,20.047,22.818,22.622,25.172,26.711,22.849,24.071,,,,22.175,20.842,22.154,24.995
3-dpf-4,23.181,19.110,24.886,18.623,14.655,18.566,22.650,22.242,22.875,22.971,20.729,22.107,23.126,20.062,22.678,22.620,25.210,26.810,22.797,23.918,,,,22.115,20.693,22.201,25.041
4-dpf-4,25.109,20.610,26.952,20.122,16.362,18.945,24.650,23.570,24.299,24.870,22.683,23.531,24.636,22.047,23.946,23.793,26.147,28.550,24.632,25.997,,,,23.413,22.223,23.945,26.777
4-dpf-4,25.074,20.452,27.020,20.061,16.311,18.890,24.541,23.407,24.412,24.762,22.633,23.500,24.650,21.979,23.880,23.881,26.051,28.492,24.680,25.865,,,,23.412,22.221,23.837,26.591
4-dpf-4,25.107,20.468,26.990,20.127,16.237,18.871,24.491,23.574,24.095,24.753,22.615,23.474,24.765,21.931,23.816,23.857,26.150,28.297,24.690,25.841,,,,23.381,22.298,23.861,26.537
5-dpf-4,24.298,18.993,25.804,19.124,15.306,17.738,23.669,22.920,23.368,23.869,21.645,22.671,23.756,21.303,23.235,23.184,25.682,27.171,23.515,24.918,,,,22.734,21.533,22.969,25.817
5-dpf-4,24.140,18.904,25.667,19.107,15.209,17.674,23.552,22.749,23.384,23.851,21.887,22.596,23.645,21.156,23.202,23.256,25.555,26.830,23.542,24.866,,,,22.729,21.529,22.878,25.582
5-dpf-4,24.161,18.912,25.660,19.137,15.174,17.673,23.500,22.723,23.260,23.793,21.666,22.507,23.604,21.183,23.231,23.164,25.590,26.735,23.625,24.700,,,,22.704,21.505,22.972,25.623
6-dpf-4,24.836,18.904,26.240,19.198,15.502,18.131,24.170,23.228,23.666,24.172,22.153,22.955,24.162,21.817,23.617,23.492,25.568,27.209,23.785,25.481,,,,23.125,21.944,23.468,26.166
6-dpf-4,24.672,18.830,26.163,19.262,15.402,18.043,24.046,23.133,23.747,24.138,22.060,22.893,24.116,21.743,23.568,23.684,25.657,27.442,23.695,25.349,,,,23.018,21.903,23.396,25.938
6-dpf-4,24.644,18.794,26.146,19.220,15.474,18.088,24.127,23.097,23.621,24.178,22.120,23.118,24.060,21.724,23.552,23.599,25.542,27.369,23.761,25.388,,,,23.016,21.917,23.592,25.940
7-dpf-4,24.414,18.154,25.717,18.625,14.944,17.496,23.878,22.913,23.174,23.831,21.977,22.650,23.711,21.554,23.411,23.369,25.196,26.951,23.251,25.045,,,,22.768,21.651,23.120,25.680
7-dpf-4,24.381,18.023,25.619,18.656,14.768,17.356,23.701,22.833,23.200,23.821,21.777,22.566,23.763,21.514,23.347,23.310,25.194,26.867,23.328,25.035,,,,22.637,21.528,23.105,25.451
7-dpf-4,24.359,18.016,25.627,18.672,14.753,17.345,23.792,22.767,23.067,23.880,21.683,22.615,23.745,21.414,23.314,23.312,25.051,26.684,23.356,24.986,,,,22.666,21.515,23.142,25.468
0-dpf-5,23.490,23.805,25.913,23.159,23.236,20.607,23.991,26.171,28.984,24.985,21.009,23.421,22.608,22.493,22.580,25.603,31.268,30.318,31.980,23.912,,,,23.874,19.718,24.513,32.632
0-dpf-5,23.401,23.594,25.887,23.109,23.567,20.620,23.928,25.987,29.443,24.903,20.941,23.287,22.553,22.384,22.579,25.681,32.374,30.551,34.417,23.833,,,,23.752,19.597,24.452,32.631
0-dpf-5,23.466,23.741,25.764,22.985,23.585,20.516,23.980,25.863,28.909,24.932,20.975,23.298,22.540,22.433,22.556,25.635,30.890,30.969,33.488,23.840,,,,23.595,19.667,24.391,32.354
1-dpf-5,22.065,19.987,24.282,20.095,15.415,21.135,22.166,22.217,23.917,24.236,20.542,21.992,22.706,19.209,22.134,22.079,27.237,27.571,25.671,22.732,,,,21.760,19.800,21.496,24.305
1-dpf-5,22.042,19.876,24.286,20.130,15.399,21.122,22.073,22.155,23.731,24.189,20.371,21.979,22.758,19.051,22.117,22.120,27.031,27.380,25.693,22.637,,,,21.787,19.815,21.353,24.388
1-dpf-5,22.069,19.844,24.239,20.351,15.286,21.080,22.156,22.311,23.820,24.235,20.304,21.999,22.721,19.261,22.069,22.169,27.355,27.352,25.970,22.653,,,,21.831,19.740,21.425,24.244
2-dpf-5,22.949,19.265,24.290,18.732,14.932,19.553,22.475,22.295,23.360,23.599,20.123,22.220,22.908,19.773,22.455,22.587,25.755,27.658,23.424,23.397,,,,21.972,20.584,21.922,24.397
2-dpf-5,22.847,19.176,24.252,18.704,14.898,19.528,22.471,22.216,23.420,23.637,20.153,22.189,22.963,19.665,22.443,22.577,25.860,27.660,23.373,23.416,,,,21.986,20.472,21.879,24.323
2-dpf-5,22.763,19.124,24.148,18.750,14.957,19.472,22.490,22.115,23.257,23.556,20.101,22.101,22.831,19.667,22.426,23.215,25.909,27.687,23.351,23.373,,,,21.941,20.467,21.809,24.415
3-dpf-5,23.130,18.694,24.811,18.081,14.325,18.947,22.617,22.183,22.947,22.992,20.102,22.022,22.756,19.787,22.719,22.833,25.209,27.010,22.558,23.541,,,,21.884,20.641,21.919,24.226
3-dpf-5,23.045,18.560,24.685,18.144,14.288,18.932,22.549,22.046,22.860,22.928,20.441,22.012,22.657,19.737,22.657,22.782,25.270,27.190,22.520,23.798,,,,21.800,20.651,21.965,24.337
3-dpf-5,23.025,18.524,24.620,18.089,14.197,18.759,22.515,22.020,22.870,22.967,20.081,21.974,22.601,19.669,22.726,22.795,25.012,27.093,22.514,23.527,,,,21.846,20.573,21.927,24.362
4-dpf-5,25.249,20.367,26.668,19.904,16.134,19.668,24.642,23.590,24.207,24.906,22.244,23.798,24.483,21.968,23.976,23.877,26.224,28.463,24.362,25.979,,,,23.323,22.359,23.947,25.962
4-dpf-5,25.370,20.291,27.020,19.873,16.133,19.585,24.512,23.439,24.607,24.875,22.326,23.825,24.258,21.880,24.032,23.926,25.986,28.466,24.289,25.886,,,,23.256,22.201,23.873,26.071
4-dpf-5,25.190,20.230,26.639,19.903,16.151,19.532,24.493,23.482,24.271,24.714,22.190,23.725,24.304,21.940,23.979,23.956,25.970,28.455,24.365,25.732,,,,23.241,22.281,23.872,25.864
5-dpf-5,23.365,18.269,24.982,18.686,14.601,17.193,22.973,22.181,22.665,23.166,20.662,21.987,22.835,20.174,22.838,22.770,24.717,26.597,22.921,23.860,,,,21.936,20.792,22.181,24.234
5-dpf-5,23.246,18.174,24.832,18.655,14.552,17.245,22.940,22.090,22.721,23.191,20.682,21.856,22.879,20.166,22.866,22.778,24.667,26.362,22.913,23.909,,,,21.957,20.759,22.060,23.976
5-dpf-5,23.216,18.172,24.877,18.636,14.484,17.207,22.869,22.036,22.701,23.087,20.742,21.895,22.798,20.214,22.734,22.778,24.659,26.444,22.798,23.814,,,,21.932,20.772,22.145,24.027
6-dpf-5,24.963,18.984,26.149,19.394,15.599,18.680,24.356,23.235,23.669,24.526,21.970,23.195,24.109,21.923,23.774,23.580,25.547,27.299,23.872,25.305,,,,23.061,22.087,23.548,25.365
6-dpf-5,24.863,18.929,26.041,19.355,15.544,18.611,24.208,23.096,23.669,24.521,21.908,23.015,23.912,21.833,23.649,23.572,25.536,27.506,23.824,25.257,,,,23.007,21.993,23.480,25.294
6-dpf-5,24.809,18.858,26.039,19.365,15.618,18.587,24.243,23.132,23.667,24.556,22.044,23.141,23.975,21.868,23.710,23.532,25.494,27.238,23.897,25.086,,,,22.995,22.006,23.518,25.267
7-dpf-5,24.775,18.573,26.280,19.096,15.387,18.427,24.260,23.283,23.444,24.425,21.953,23.081,23.983,21.931,23.773,23.665,25.401,27.489,23.819,25.403,,,,23.100,22.064,23.509,25.206
7-dpf-5,24.653,18.504,26.107,19.142,15.246,18.374,24.143,23.065,23.427,24.419,21.914,22.998,23.934,21.881,23.676,23.664,25.402,27.396,23.764,25.282,,,,22.980,22.015,23.529,25.140
7-dpf-5,24.671,18.491,26.106,19.145,15.273,18.226,24.206,23.093,23.546,24.419,21.851,23.067,23.939,21.917,23.778,23.606,25.309,27.272,23.786,25.299,,,,22.956,22.083,23.543,25.085
